title,url,replies,views
"For some Latinos, ‘prosperity gospel’ led them to Trump",https://debatepolitics.com/threads/for-some-latinos-%E2%80%98prosperity-gospel%E2%80%99-led-them-to-trump.557926/,48,2000
How the GOP is on Self-Destruct,https://debatepolitics.com/threads/how-the-gop-is-on-self-destruct.557954/,2,172
Kamala's Been On A Drinking Binge Since Losing,https://debatepolitics.com/threads/kamalas-been-on-a-drinking-binge-since-losing.556181/,187,2000
The Victory,https://debatepolitics.com/threads/the-victory.554963/,182,2000
It Must Really Suck For You People,https://debatepolitics.com/threads/it-must-really-suck-for-you-people.557448/,290,2000
Manifestly Unfit,https://debatepolitics.com/threads/manifestly-unfit.557682/,129,1000
Poll: 65% of Canadians agree with Trump's wish to make them the 51st state,https://debatepolitics.com/threads/poll-65-of-canadians-agree-with-trumps-wish-to-make-them-the-51st-state.557506/,56,774
"President Trump - Meet the Press... ""No I will not do any executive orders to limit abortion""",https://debatepolitics.com/threads/president-trump-meet-the-press-no-i-will-not-do-any-executive-orders-to-limit-abortion.556927/,72,937
Trumps fake campaign promises are falling like dominoes or cut like a drug dealer's cocaine. Election fraud is consequential & criminal.,https://debatepolitics.com/threads/trumps-fake-campaign-promises-are-falling-like-dominoes-or-cut-like-a-drug-dealers-cocaine-election-fraud-is-consequential-criminal.557303/,36,587
TRUMP RENEGES ON THE USMCA - HIS OWN ADMINISTRATION'S TRADE AGREEMENT NEGOTIATED & SIGNED IN 2020,https://debatepolitics.com/threads/trump-reneges-on-the-usmca-his-own-administrations-trade-agreement-negotiated-signed-in-2020.557839/,12,298
Trump's inaugural fund receives $1 million donation from Mark Zuckerberg's Meta,https://debatepolitics.com/threads/trumps-inaugural-fund-receives-1-million-donation-from-mark-zuckerbergs-meta.557111/,54,531
Now It’s Panama’s Turn In the Barrel,https://debatepolitics.com/threads/now-it%E2%80%99s-panama%E2%80%99s-turn-in-the-barrel.557723/,133,2000
You know its very hard. LOL,https://debatepolitics.com/threads/you-know-its-very-hard-lol.557147/,281,2000
Western Kentucky Professor: Trump's victory signals that human decency is no longer an American virtue,https://debatepolitics.com/threads/western-kentucky-professor-trumps-victory-signals-that-human-decency-is-no-longer-an-american-virtue.556543/,363,3000
"Fetterman slams legal cases against Trump, Hunter Biden in first Truth Social post: ‘Cases were both bulls—‘",https://debatepolitics.com/threads/fetterman-slams-legal-cases-against-trump-hunter-biden-in-first-truth-social-post-%E2%80%98cases-were-both-bulls%E2%80%94%E2%80%98.557112/,85,872
Chip Roy On the Outside?,https://debatepolitics.com/threads/chip-roy-on-the-outside.557584/,29,331
"This Cannot Be a Possibility, Wut?",https://debatepolitics.com/threads/this-cannot-be-a-possibility-wut.557551/,81,749
How long will President Musk tolerate Trump interference ?,https://debatepolitics.com/threads/how-long-will-president-musk-tolerate-trump-interference.557564/,53,530
RFK Jr.'s lawyer and top ally asked FDA to revoke approval of polio vaccine,https://debatepolitics.com/threads/rfk-jr-s-lawyer-and-top-ally-asked-fda-to-revoke-approval-of-polio-vaccine.557227/,32,484
Promises Made Promises Broken,https://debatepolitics.com/threads/promises-made-promises-broken.557136/,41,454
Trump suggests Canada become 51st state after Trudeau said tariff would kill economy,https://debatepolitics.com/threads/trump-suggests-canada-become-51st-state-after-trudeau-said-tariff-would-kill-economy.556522/,537,4000
Trump drains the swamp of lobbyists by filling his admninistration with their bosses.,https://debatepolitics.com/threads/trump-drains-the-swamp-of-lobbyists-by-filling-his-admninistration-with-their-bosses.557445/,4,98
Trump Is Now An Automation Expert,https://debatepolitics.com/threads/trump-is-now-an-automation-expert.557158/,12,183
Pressure on a veteran and senator shows what's next for those who oppose Trump,https://debatepolitics.com/threads/pressure-on-a-veteran-and-senator-shows-whats-next-for-those-who-oppose-trump.557143/,32,383
Amazon plans to make $1 million donation to Trump inaugural fund; Bezos to visit Mar-a-Lago,https://debatepolitics.com/threads/amazon-plans-to-make-1-million-donation-to-trump-inaugural-fund-bezos-to-visit-mar-a-lago.557174/,60,527
"Oh, Look, Another Fraud",https://debatepolitics.com/threads/oh-look-another-fraud.557234/,2,112
They’re Not Laughing At Us,https://debatepolitics.com/threads/they%E2%80%99re-not-laughing-at-us.557166/,2,145
The “FOR SALE” Sign Is UP!,https://debatepolitics.com/threads/the-%E2%80%9Cfor-sale%E2%80%9D-sign-is-up.557018/,110,1000
Kimberly To Greece!,https://debatepolitics.com/threads/kimberly-to-greece.557038/,13,206
"YOU CAN’T QUIT, YOU’RE FIRED",https://debatepolitics.com/threads/you-can%E2%80%99t-quit-you%E2%80%99re-fired.556673/,35,430
Need to start a 2028 Presidential Election thread,https://debatepolitics.com/threads/need-to-start-a-2028-presidential-election-thread.556804/,35,323
"Can all of the ""LAND DOESN'T VOTE!!"" people chime in since Trump won the popular vote??",https://debatepolitics.com/threads/can-all-of-the-land-doesnt-vote-people-chime-in-since-trump-won-the-popular-vote.556815/,72,564
Kash Patel,https://debatepolitics.com/threads/kash-patel.556601/,26,305
Canadian PM Justin Trudeau visits Trump at Mar-a-Lago amid steep tariff threats,https://debatepolitics.com/threads/canadian-pm-justin-trudeau-visits-trump-at-mar-a-lago-amid-steep-tariff-threats.556312/,391,3000
Pete Hegseth,https://debatepolitics.com/threads/pete-hegseth.556510/,91,721
(CNN) Democrats’ flip in California concludes final unresolved US House race,https://debatepolitics.com/threads/cnn-democrats%E2%80%99-flip-in-california-concludes-final-unresolved-us-house-race.556639/,108,603
"""You're fired!"" Trump to replace White House Counsel before he's even started his term.",https://debatepolitics.com/threads/youre-fired-trump-to-replace-white-house-counsel-before-hes-even-started-his-term.556654/,33,291
Republicans worry Trump will follow through with his policies,https://debatepolitics.com/threads/republicans-worry-trump-will-follow-through-with-his-policies.556704/,51,380
"""i think i could get rich selling volcano insurance to professional black republicans""",https://debatepolitics.com/threads/i-think-i-could-get-rich-selling-volcano-insurance-to-professional-black-republicans.556593/,43,378
[W: #1063] 2024 Presidential Election night discussion,https://debatepolitics.com/threads/w-1063-2024-presidential-election-night-discussion.554288/,4000,30000
Trump considers DeSantis for Defense secretary as Hegseth appears to falter,https://debatepolitics.com/threads/trump-considers-desantis-for-defense-secretary-as-hegseth-appears-to-falter.556618/,80,372
I Wonder What They Found In His Dumpster,https://debatepolitics.com/threads/i-wonder-what-they-found-in-his-dumpster.556580/,16,199
Is Trump Building an Economy That Will Give a Short-Term Boost to the Rich but Throw the U.S. into Economic Disaster in the Long Run?,https://debatepolitics.com/threads/is-trump-building-an-economy-that-will-give-a-short-term-boost-to-the-rich-but-throw-the-u-s-into-economic-disaster-in-the-long-run.551607/,46,697
Trump’s No 2 Pick At DOD,https://debatepolitics.com/threads/trump%E2%80%99s-no-2-pick-at-dod.556574/,2,110
To the liberal resistance to Trumps onslaught of insanity,https://debatepolitics.com/threads/to-the-liberal-resistance-to-trumps-onslaught-of-insanity.556120/,119,936
"President Trump's rally in Butler, Pennsylvania: Elon Musk fires up Trump supporters: ‘I want to say what an honor it is to be here’",https://debatepolitics.com/threads/president-trumps-rally-in-butler-pennsylvania-elon-musk-fires-up-trump-supporters-%E2%80%98i-want-to-say-what-an-honor-it-is-to-be-here%E2%80%99.551523/,332,3000
All In The Family,https://debatepolitics.com/threads/all-in-the-family.556364/,24,292
Hollywood Stupidz,https://debatepolitics.com/threads/hollywood-stupidz.554228/,78,823
Democrats don't understand what it means to be educated,https://debatepolitics.com/threads/democrats-dont-understand-what-it-means-to-be-educated.555918/,610,5000
It’s Official: Trump Now Has Hottest Cabinet Of All Time,https://debatepolitics.com/threads/it%E2%80%99s-official-trump-now-has-hottest-cabinet-of-all-time.556222/,64,630
"Mark Zuckerberg visits Trump at Mar-a-Lago, reportedly 'wants to support the national renewal'",https://debatepolitics.com/threads/mark-zuckerberg-visits-trump-at-mar-a-lago-reportedly-wants-to-support-the-national-renewal.556330/,5,119
Trump says Mexico's president has 'agreed to stop' illegal migrants crossing into America,https://debatepolitics.com/threads/trump-says-mexicos-president-has-agreed-to-stop-illegal-migrants-crossing-into-america.556206/,151,1000
Your Final Predictions?,https://debatepolitics.com/threads/your-final-predictions.553910/,69,846
Repubs...what is your endgame?,https://debatepolitics.com/threads/repubs-what-is-your-endgame.556119/,79,712
"It's amazing how an election loss, even as big as this one, still doesn't put a dent in the thinking that lost it.",https://debatepolitics.com/threads/its-amazing-how-an-election-loss-even-as-big-as-this-one-still-doesnt-put-a-dent-in-the-thinking-that-lost-it.555363/,954,10000
polling stuff,https://debatepolitics.com/threads/polling-stuff.551212/,1000,9000
Drunk Kamala Delivers Her Final Word Salad,https://debatepolitics.com/threads/drunk-kamala-delivers-her-final-word-salad.556238/,23,232
Special counsel Jack Smith drops election subversion case against Donald Trump! 🎯🎯🎯,https://debatepolitics.com/threads/special-counsel-jack-smith-drops-election-subversion-case-against-donald-trump-%F0%9F%8E%AF%F0%9F%8E%AF%F0%9F%8E%AF.556024/,29,223
Trump Gets HUMILIATED on Capitol Hill with BAD NEWS,https://debatepolitics.com/threads/trump-gets-humiliated-on-capitol-hill-with-bad-news.555794/,43,557
DNC: For thee not for me...,https://debatepolitics.com/threads/dnc-for-thee-not-for-me.556098/,26,238
Keith Kellogg To SA To POTUS/Russia-Ukraine Envoy,https://debatepolitics.com/threads/keith-kellogg-to-sa-to-potus-russia-ukraine-envoy.556168/,1,57
The Libertarian Candidate received only 0.42% of the vote,https://debatepolitics.com/threads/the-libertarian-candidate-received-only-0-42-of-the-vote.556094/,6,132
Trump AG Pick Pam Bondi Is About to Regret What She Just Signed Up For,https://debatepolitics.com/threads/trump-ag-pick-pam-bondi-is-about-to-regret-what-she-just-signed-up-for.555950/,69,587
Major Democrat Mega donor spills the beans on the Harris campaign.,https://debatepolitics.com/threads/major-democrat-mega-donor-spills-the-beans-on-the-harris-campaign.556095/,5,124
