标题,链接,日期,正文
江西：启动“戎耀赣鄱 职向未来”退役军人就业服务专项行动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260330_535764.html,2026-03-31,"江西：启动“戎耀赣鄱 职向未来”退役军人就业服务专项行动
3月26日，“戎耀赣鄱 职向未来”2026年江西省退役军人就业服务专项行动启动仪式暨全省退役军人、随军家属招聘会主会场活动在江西省11个设区市同步举行，本次活动由江西省退役军人事务厅和江西省人力资源和社会保障厅共同主办。其中南昌主会场还联合南昌市人民政府主办。
全方位精准对接，“一站式”暖心服务
上午9时30分，南昌主会场启动仪式正式拉开帷幕。江西省退役军人事务厅就业创业处相关负责人主持活动，省退役军人事务厅党组成员、副厅长王纯，省人力资源和社会保障厅党组成员、副厅长叶志忠，南昌市人民政府党组成员、副市长陈鹏辉等领导出席并致辞。现场嘉宾共同触摸启动柱，宣布专项行动正式启动。启动仪式后，领导一行巡场观摩招聘会专区，与企业代表及求职退役军人亲切交流，详细了解岗位供需情况。
活动现场亮点纷呈，精心设置了招聘服务、政策咨询、技能展示、直播带岗、综合保障等六大专区，为求职者提供“一站式”就业支持。招聘区内，来自全省的优质企业云集，岗位涵盖制造业、现代服务业、信息技术、安保消防等多个领域，精准匹配退役军人特长。政策咨询区工作人员耐心解答就业创业、税收优惠、技能培训等政策，帮助退役军人用好用足扶持政策。直播带岗区则打破时空限制，让无法到场的求职者也能“云”上对接心仪岗位。
多方协作也为活动提供了坚实保障。活动由省就业创业服务中心、省退役军人服务中心等单位承办，并得到省发改委、省国资委、省总工会、省工商联等单位的协同助力。南昌市退役军人事务局牵头做好安保、应急等工作，确保活动顺利开展。中国银行江西省分行等支持单位推出的“洪城军创贷”等金融产品，也为有创业意愿的退役军人提供了资金支持。
面对面倾听心声，实打实尊崇关爱
活动现场，前来求职的退役军人纷纷表示，此次招聘会企业质量高、服务贴心，让他们真切感受到了社会的尊崇与关爱。
今年48岁的南昌市新建区退役军人涂续明，2000年退役后一直从事餐饮厨师工作，近期刚刚离职。他手持退役证，第一次参加这样的专场招聘会。“招聘会的企业都不错，给了我们退役军人很多机会。我对航空安全员这个岗位比较有兴趣，需要进一步了解。”涂续明满怀期待地说。
来自南昌市东湖区的31岁退役军人姜敏凯，2017年从武警部队退役，之前从事特种设备工作。同样是第一次参加招聘会的他，目光投向了新兴领域。“我目前对AI相关的工作很感兴趣，希望能在这里找到新的发展方向。”
企业也对退役军人给予了高度评价。湖北科新国际船舶管理公司副总经理梅思成表示：“我们公司招聘海员、机工、水手，退役军人是我们最合适的招聘群体之一。他们身体素质好，具备一定的学习能力，又能吃苦耐劳，非常符合我们的要求。我们非常重视退役军人招聘会，特别是在南昌这样的大城市举办的专场活动。”
常态化深耕细作，长效化再启新程
本次活动成效显著，仅南昌主会场共吸引退役军人及随军家属2000余人，招聘企业累计接待1820人次，收取简历1200余份，初步达成就业意向近676人。这不仅是阶段性服务举措，更标志着江西省退役军人就业服务工作迈入常态化、长效化的新阶段。
近年来，江西省退役军人事务厅始终把促进退役军人高质量充分就业摆在突出位置，持续健全机制、制定政策、搭建平台，将省委、省政府关于促进高质量充分就业的决策部署落到实处。
数据显示，五年来，江西省退役军人事务厅累计出台就业创业相关政策文件22件，组织1.6万名自主就业退役士兵参加职业教育和技能培训，并落实100%推荐就业；协调落实事业编专岗、教师、消防员及公安辅警等优先就业岗位1.6万个；累计组织各类招聘会1200场次，提供岗位93万个，达成就业意向3.9万人。
省退役军人事务厅二级调研员张志平介绍：“围绕促进退役军人就业创业，我们将从四个方面持续发力。一是继续完善退役军人就业创业政策体系；二是做好退役军人教育培训，重点提升培训质量和就业能力；三是与更多优质企业签约合作，不断拓展岗位资源；四是搭建更多创业平台，为退役军人创业创新和军创企业发展提供更广阔的舞台。”
本次专项行动的线上招聘活动将持续至4月24日，求职者可通过江西人才服务网（www.jxrcfw.com）继续参与，目前已有超80家企业参会提供就业岗位3371个。未来，江西省将通过省、市、县三级联动，持续拓展就业渠道，为实现退役军人“退役不褪色、就业有未来”的目标注入强劲动力。"
广西德保：退役老兵传薪火 红色基因励新兵,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260330_535761.html,2026-03-31,"广西德保：退役老兵传薪火 红色基因励新兵
为厚植应征青年家国情怀，打牢入伍思想根基，近日，广西壮族自治区百色市德保县退役军人事务局邀请参战老兵走进预征青年训练场，开展队列指导和红色传统教育活动。
本次受邀的李志标同志于1978年3月入伍，曾担任过士兵、副班长等职务，1979年2月参加边境战争，在作战中因战斗英勇，成绩突出被部队授予二等功，多次受到部队嘉奖，用青春和热血践行了军人誓言。退役后，他始终保持军人本色，坚守初心使命，积极投身国防教育和红色宣讲，用亲身经历激励一代又一代青年投身军营、报效国家。
活动现场，参战老兵精神矍铄、军容严整，以标准规范的动作示范立正、稍息、齐步等基础队列内容，手把手纠正身形姿态、摆臂幅度、步伐间距等细节。训练间隙，老兵结合亲身参战经历，讲述烽火岁月里的忠诚担当与战斗精神，把红色故事融入队列训练，把优良传统注入青年心中。他用朴实话语勉励青年，队列练的是身姿，铸的是军魂，守的是纪律，担的是使命，唯有练好基本功，才能扛起保家卫国的重任。
一句句叮嘱饱含深情，一个个动作彰显作风。在场青年深受触动，纷纷表示，将以参战老兵为榜样，传承红色基因、赓续英雄血脉，把严明纪律、过硬作风带到军营，苦练军事本领，忠诚履行使命，努力成为新时代合格军人，为国防和军队建设贡献青春力量。（文/黄安微）"
吉林：全省广泛开展“热血吉行军 真情暖吉林”退役军人学雷锋无偿献血活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260330_535759.html,2026-03-31,"吉林：全省广泛开展“热血吉行军 真情暖吉林”退役军人学雷锋无偿献血活动
3月以来，由吉林省退役军人事务厅、吉林省卫生健康委员会、吉林省红十字会联合发起，吉林省血液中心、吉林省吉行军志愿服务协会、吉林广播电视台共同承办的“热血吉行军 真情暖吉林”全省退役军人学雷锋无偿献血活动逐步在全省启动。
每年3月，吉林省退役军人事务厅联合省卫生健康委、省红十字会成立活动领导小组，制定方案对志愿者招募、活动流程、服务保障、场地设置等进行部署。3月4日，"
甘肃岷县：暖心饺子送新兵,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260330_535757.html,2026-03-31,"甘肃岷县：暖心饺子送新兵
近日，甘肃省定西市岷县双拥办联合县征兵办，开展“暖心饺子送新兵 双拥情深踏征程”欢送新兵入伍主题活动，为入伍新兵送上家乡的关怀与祝福。
活动现场暖意融融。县人武部、县征兵办、县双拥办及县退役军人事务局的工作人员与新兵家属和部分新兵代表一起，分工协作、默契配合，揉面、擀皮、包馅，当热气腾腾的饺子出锅端上桌，新兵捧起碗大口品尝，熟悉的家乡味道暖了胃更暖了心。
“这饺子包的是家人的牵挂，更是家乡的期盼，到了部队，我一定刻苦训练，不辜负大家的期望！”新兵代表动情地说。家属一边为孩子夹起饺子，一边轻声叮嘱，眼里满是骄傲与不舍。
活动的开展，进一步营造了“军爱民、民拥军，军民团结一家亲”的浓厚社会氛围。下一步，岷县将持续深化双拥共建工作，创新活动形式、丰富活动内涵，用心用情做好拥政爱民、拥军优属各项工作，切实解决军人军属急难愁盼，不断巩固军政军民团结的良好局面，推动全县双拥工作再上新台阶。"
黑龙江伊春：开展退役军人就业创业服务专项行动暨2026年春季退役军人及随军家属专场招聘会,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260330_535754.html,2026-03-31,"黑龙江伊春：开展退役军人就业创业服务专项行动暨2026年春季退役军人及随军家属专场招聘会
春风送暖，情暖老兵。为切实做好退役军人就业创业服务工作，促进退役军人高质量充分就业。3月10日，黑龙江省伊春市退役军人事务局以“戎归家乡 筑梦林都”为主题，协同多部门邀请全市30余家招聘企业，组织开展2026年春季自主就业退役士兵返乡欢迎仪式暨退役军人及随军家属专场招聘会。
活动设置欢迎仪式、政策宣讲、企业推介、展区参观、专场招聘五大环节，为退役军人及随军家属搭建起精准高效的就业对接平台。政策宣讲环节，工作人员详细解读了退役军人就业创业相关优惠政策，把政策红利精准送到老兵手中。企业代表依次介绍企业发展情况、招聘岗位及福利待遇，为求职者提供清晰的就业选择。随后，参会人员共同参观伊春军创企业特色产品展区，近距离感受本地军创企业发展活力，激发退役军人创业热情。
专场招聘环节现场气氛热烈，采取“现场洽谈+直播带岗”双模式开展。退役军人及随军家属与企业招聘负责人面对面交流，详细咨询岗位要求、薪酬待遇、职业发展等问题，企业耐心介绍岗位详情，积极招揽优秀退役军人。工作人员全程做好现场引导服务，确保招聘对接高效顺畅。
此次活动是伊春市落实“幸福龙江”“民生振兴”工作要求的具体实践，既让退役军人感受到家乡的尊崇与温暖，也为企业与退役军人搭建了供需对接的桥梁。下一步，伊春市退役军人事务系统将持续聚焦退役军人就业创业需求，常态化开展专场招聘、政策宣讲、技能培训等服务，不断优化就业创业服务举措，切实为退役军人办实事、解难题，助力广大退役军人在就业创业道路上行稳致远，为伊春高质量发展注入退役军人力量。（文/佟君涵）"
天津：开展“追寻·2026·清明祭英烈”志愿者服务启动仪式,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260330_535751.html,2026-03-31,"天津：开展“追寻·2026·清明祭英烈”志愿者服务启动仪式
近日，由天津市烈士陵园主办的“追寻·2026·清明祭英烈”志愿者服务启动仪式暨专兼职讲解员、志愿者服务礼仪培训会在天津市便民专线服务中心举行。烈士陵园、便民专线服务中心、天津城市建设管理职业技术学院有关负责同志出席仪式，20名大学生志愿者、15名青年骨干及16名专兼职讲解员齐聚一堂，正式开启红色志愿服务之旅。
本次志愿者队伍的组建标志着“校园青春”与“民生先锋”的深情握手。他们将在接下来的一个月里，走进天津市烈士陵园，用青春力量讲述英烈故事，传递时代强音。
仪式上，三方领导依次上台致辞，向全体志愿者表示热烈祝贺，并寄予厚望，希望大家在参与志愿服务的同时，能够用心去感受英雄先烈的崇高精神，用讲解去表达对英烈的无限敬仰，用行动去展现当代青年良好的精神风貌。
志愿者代表上台发言，表达了投身红色志愿服务的决心与热情。与会领导为志愿者代表颁发了志愿者马甲及工作证。随后，全体志愿者庄严宣誓：“我志愿，成为光荣的志愿者，践行奉献、友爱、互助、进步的志愿精神，响应党和国家号召，奉献社会，服务人民，传递真善美，传播正能量，为强国建设、民族复兴贡献智慧和力量！”铮铮誓言，掷地有声，彰显了新时代青年的担当和使命。
仪式结束后，高级礼仪培训师为全体专兼职讲解员及志愿者做礼仪授课辅导。内容涵盖外貌造型、仪态举止、讲解技巧、服务规范等多个方面，通过理论讲解与实操演练，志愿者对即将开展的志愿引导和讲解服务工作充满信心。大家认真聆听、积极互动，现场学习氛围浓厚。
本次“追寻·2026·清明祭英烈”志愿服务活动将持续至4月中旬。其间，志愿者将在天津市烈士陵园开展引导咨询、志愿讲解、秩序维护等工作。"
云南：战斗英雄进校园 开展“开学第一课”宣讲活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260330_535749.html,2026-03-31,"云南：战斗英雄进校园 开展“开学第一课”宣讲活动
为大力弘扬爱国主义精神，传承红色基因、赓续红色血脉，近日，云南省退役军人事务厅特邀一级战斗英雄史光柱走进昆明理工大学、云南工贸职业技术学院、云南师范大学，开展“荣光再续、薪火不息”“开学第一课”宣讲活动，为广大师生讲述战斗故事、传承英雄精神，激励青年学子坚定理想信念、勇担时代使命。
宣讲活动在战斗英雄史光柱嘹亮的歌声中拉开序幕，《小草》《血染的风采》熟悉的旋律，唤起全体师生对英雄先辈的崇高敬意，现场掌声阵阵。宣讲中，史光柱以质朴的语言、真挚的情感，以东北抗日联军的抗争为叙事主线，追忆了杨靖宇、赵尚志、赵一曼、周保中、李兆麟等先烈的英勇事迹，以及自己在身受重伤、双目失明的情况下带领全排收复两个高地的战斗经历，深刻诠释“宁可前进一步死，也绝不后退半步生”的英雄担当，用朴实无华的语言展现了革命军人忠诚于党、报效国家、服务人民的政治本色与铁血担当。
史光柱勉励青年学子：“今天的和平幸福生活来之不易，是无数革命先烈用鲜血和生命换来的。希望同学们铭记历史、珍爱和平，坚定理想信念、树立远大志向，把个人理想融入国家发展和民族复兴伟业，珍惜韶华、勤奋学习、锤炼品格、增长才干，以饱满的热情、昂扬的斗志直面困难挑战，在新时代新征程上奋力书写无愧于时代、无愧于人民的青春华章。”
宣讲后，广大师生深受感动、倍感鼓舞，感悟到革命先辈胸怀祖国、赤胆忠心、无畏生死、无私奉献的崇高精神。纷纷表示，将以英雄为榜样，把爱国之情、强国之志、报国之行统一起来，努力成长为有理想、敢担当、能吃苦、肯奋斗的新时代好青年，自觉担当起民族复兴的时代重任。
下一步，省退役军人事务厅将持续用好红色资源、讲好英雄故事，不断深化红色宣讲进校园、进课堂、“开学第一课”等活动，推动红色基因代代相传，为传承红色基因、培育时代新人凝聚强大精神力量。"
贵州毕节：2026年春季新兵启程赴军营,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260330_535742.html,2026-03-31,"贵州毕节：2026年春季新兵启程赴军营
春风送暖，战鼓催征。近日，贵州省毕节市七星关区、金沙县、威宁彝族回族苗族自治县等地相继举行新兵入伍欢送活动。一批批热血青年胸戴红花、肩披绶带，在家乡父老的深情祝福与殷切期望中，怀揣报国壮志，启程奔赴火热军营，开启了崭新的军旅生涯。
荣光与传承：庄严仪式寄托殷切期望。各地的欢送活动庄严而热烈，充满了浓厚的荣誉感与仪式感。3月11日，金沙县举行了新兵入伍与老兵退役联合巡游，通过“一迎一送”的庄严形式，生动诠释了军队钢铁营盘中血性精神的代代相传。3月14日，在七星关区行政办公中心广场，军地领导为入伍新兵佩戴红花、发放光荣牌和奖励金，嘱咐他们传承家乡红色基因，在部队勇争排头兵。同日，在威宁县会展中心人民广场，军地领导共同出席了2026年上半年迎老兵返乡暨新兵入伍欢送大会，向光荣退役的老兵致以崇高敬意，并寄语新兵要将忠诚刻进骨子里、把本领练到极致。
誓言与热血：青春之声响彻乌蒙高原。“听党指挥、能打胜仗、作风优良！”在威宁县，新兵的入伍誓言如春雷滚动，响彻广场。新兵代表王艳庄严承诺：“请家乡父老放心！请老兵前辈见证！我们一定接过你们的钢枪，传承你们的荣光。”七星关区的新兵代表也表示，将不负嘱托，锤炼成为拥有忠诚之魂、胜战之能、赤子之心的优秀军人。退役老兵代表张西则以16年军旅生涯的感悟，勉励新兵珍惜韶华，在军营绽放光芒。这些铿锵誓言与深情寄语，交汇成乌蒙儿女投身强军实践的时代强音。
巡游与欢送：全城涌动军民鱼水深情。欢送仪式后，声势浩大的巡游活动将气氛推向高潮。在威宁，新老兵方阵穿过“从戎门”，沿主干道行进，沉稳与矫健的步伐交织，沿途群众挥舞国旗、掌声如潮。七星关区的新兵方阵在花车与龙狮队伍护送下巡游，向夹道群众展示报国热忱，临街商铺挂满祝福标语。金沙县的巡游队伍途经金沙县第四小学时，一位坐在轮椅上的抗美援朝老兵缓缓起身敬礼，县人武部领导带队回礼，一幕红色精神的隔空对话感人至深。队伍还在李旭华烈士纪念碑前驻足，缅怀先烈，感悟参军光荣。
底蕴与荣光：双拥热土续写“高原兵”传奇。毕节是一片有着深厚爱国拥军传统的红色热土。毕节市、威宁县在2025年成功创建全国双拥模范城（县），“威宁高原兵”立功群体被表彰为“黔动先锋”，自2018年起已连续8年立功人数破百。近年来，毕节市始终赓续红色基因，弘扬长征精神，通过深入做好服务保障和开展“同心向强·共卫国防”拥军优属活动，不断凝聚全社会关心国防、支持国防的强大合力。
此次春季征兵欢送活动，不仅是一场情感的送别与凝聚，更是一堂生动的国防教育课。它展现了人民军队优良传统的传承，厚植了尊崇军人职业的社会风尚，也标志着又一批乌蒙好儿郎接过历史的钢枪，将忠诚与担当续写进强国强军的壮阔篇章。"
海南：开展2026年度退役军人接收安置座谈暨国防教育活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260330_535739.html,2026-03-31,"海南：开展2026年度退役军人接收安置座谈暨国防教育活动
为进一步学习贯彻《退役军人安置条例》，深入贯彻落实习近平总书记关于“把退役军人接收安置好、服务保障好、教育管理好、作用发挥好、权益维护好”重要指示要求，近日，海南省退役军人事务厅组织相关人员赴三亚市开展2026年度退役军人接收安置座谈暨国防教育活动，部分省直单位、中央驻琼企业、省属国有企业组织人事部门相关负责人员共50余人参加。
活动围绕国防知识、安置政策、形势任务等，通过实地研学、教育宣讲、座谈交流的形式组织开展。活动期间，省退役军人事务厅向参会单位和基层部队官兵发放各类安置政策宣传手册300余份、《退役军人安置条例》和政策汇编100余本，为政策精准传递、工作高效推进提供了坚实保障。
此次活动，海南省退役军人事务厅对2025年全省移交安置工作进行了回顾总结，明确了2026年海南省退役军人移交安置工作任务目标，同时要求各单位提前谋划部署，统筹推动安置政策落实，以实际行动为巩固发展军政军民团结、服务国防和军队现代化建设、加快建设海南自由贸易港作出新的更大贡献。
省教育厅、省国资委、中国农业银行海南省分行、海南铁路有限公司、海南国际商业航天发射有限公司等单位交流了退役军人接收安置、任职使用、培养激励等方面的经验做法，以实际案例生动展现了企业事业单位履行社会责任、发挥退役军人优势作用的实践成效。大家一致表示，通过深入部队参加国防教育活动，见证了国防和军队现代化发展成果，感受到部队官兵精武强军、保家卫国的奉献担当，进一步加深了对接收安置退役军人这一特殊政治任务的情感认同和责任意识。
本次活动的成功举办为部队官兵准确把握安置政策、了解海南安置形势、科学选择安置方式和安置去向提供了有力支撑，同时进一步增强了相关单位接收安置退役军人的政治自觉，为推进2026年退役军人移交安置工作打下了坚实基础。"
青海：举办“进军营砺初心 担使命助强军”调研学习活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260330_535736.html,2026-03-31,"青海：举办“进军营砺初心 担使命助强军”调研学习活动
在全党深入开展树立和践行正确政绩观学习教育之际，3月20日，青海省退役军人事务厅携手76集团军精心组织“进军营砺初心 担使命助强军”调研学习活动。97家省级党政机关、中央驻青单位、群团组织、省属高校及部分金融机构、企业等退役军人接收安置单位的近百名组织人事部门负责人齐聚军营，通过现场观摩、法规研学、互动交流等形式，深化思想认识、凝聚工作共识，进一步增强做好退役军人接收安置工作的使命感和责任感。
沉浸式感悟军旅荣光，用红色基因铸魂砺心。活动中，大家走进驻地军营，沉浸式感受人民军队的光辉历史与发展成就。通过集中观看官兵在高原高寒环境下坚守岗位、以苦为乐的纪实影像，深刻感悟官兵听党指挥的绝对忠诚、敢打必胜的战斗精神和无私奉献的崇高追求；在训练场近距离观摩现代化武器装备展示与官兵实战化战斗技能演练，直观见证人民军队锚定强军目标、推进军事斗争准备取得的显著成效；在模范连队聆听红色故事、瞻仰革命文物，透过一件件镌刻岁月的红色物品、一面面见证荣光的牌匾旗帜，深切体会人民军队为中华民族伟大复兴作出的卓越贡献与巨大牺牲，进一步增进对军人职业的尊崇、对国防事业的理解，厚植拥军优属的思想根基。
精准化宣讲辅导政策，以政治担当砥砺前行。活动紧扣退役军人接收安置工作实际，开展专题辅导与政策解读，为提升退役军人安置工作质效理思路、明方向。青海省退役军人事务厅党组书记、厅长刘海宁同志以“准确把握政治属性 加力破解突出问题 用心用情用力把退役军人安置好、管理好、使用好”为主题作专题辅导，引导全体参与人员深刻领悟胸怀“国之大者”的核心要义，切实把树立正确政绩观融入退役军人安置工作全过程，进一步扛牢政治责任、密切协同配合、聚力破解工作难题。青海省退役军人事务厅移交安置处现场解读《退役军人安置条例》及青海省配套政策，围绕政策出台背景、核心条款、执行要求等内容精准讲解，推动政策法规在各单位精准执行。
深层次开展座谈交流，聚思想共识同向发力。在分组座谈环节，各接收安置单位组织人事部门负责人围绕本单位退役军人接收安置现状、政策待遇落实情况、工作推进中的难点堵点及意见建议等方面展开深入交流研讨，凝聚起做好退役军人安置工作的强大共识。大家一致认为，无论是在革命战争年代还是在和平建设时期，人民军队始终是党和人民可信赖、可依靠的坚强柱石；广大官兵将青春奉献国防，是最可敬、最可爱的人；退役军人顾大局、识大体、守规矩，兼具过硬作风与实干本领，已成为青海经济社会发展的重要力量。各部门、各单位纷纷表示，将切实把退役军人安置工作作为重要政治任务和民生工程，扛在肩上、抓在手上、落实在行动上，以更实举措、更优服务推动党中央决策部署和省委、省政府工作要求落地见效，用心用情用力做好退役军人安置各项工作，让尊崇军人职业、尊重退役军人成为全社会共识。"
