title,url,replies,views
"For some Latinos, ‘prosperity gospel’ led them to Trump",https://debatepolitics.com/threads/for-some-latinos-%E2%80%98prosperity-gospel%E2%80%99-led-them-to-trump.557926/,48,2K
How the GOP is on Self-Destruct,https://debatepolitics.com/threads/how-the-gop-is-on-self-destruct.557954/,2,174
Kamala's Been On A Drinking Binge Since Losing,https://debatepolitics.com/threads/kamalas-been-on-a-drinking-binge-since-losing.556181/,187,2K
The Victory,https://debatepolitics.com/threads/the-victory.554963/,182,2K
It Must Really Suck For You People,https://debatepolitics.com/threads/it-must-really-suck-for-you-people.557448/,290,2K
Manifestly Unfit,https://debatepolitics.com/threads/manifestly-unfit.557682/,129,1K
Poll: 65% of Canadians agree with Trump's wish to make them the 51st state,https://debatepolitics.com/threads/poll-65-of-canadians-agree-with-trumps-wish-to-make-them-the-51st-state.557506/,56,775
"President Trump - Meet the Press... ""No I will not do any executive orders to limit abortion""",https://debatepolitics.com/threads/president-trump-meet-the-press-no-i-will-not-do-any-executive-orders-to-limit-abortion.556927/,72,938
Trumps fake campaign promises are falling like dominoes or cut like a drug dealer's cocaine. Election fraud is consequential & criminal.,https://debatepolitics.com/threads/trumps-fake-campaign-promises-are-falling-like-dominoes-or-cut-like-a-drug-dealers-cocaine-election-fraud-is-consequential-criminal.557303/,36,587
TRUMP RENEGES ON THE USMCA - HIS OWN ADMINISTRATION'S TRADE AGREEMENT NEGOTIATED & SIGNED IN 2020,https://debatepolitics.com/threads/trump-reneges-on-the-usmca-his-own-administrations-trade-agreement-negotiated-signed-in-2020.557839/,12,298
Trump's inaugural fund receives $1 million donation from Mark Zuckerberg's Meta,https://debatepolitics.com/threads/trumps-inaugural-fund-receives-1-million-donation-from-mark-zuckerbergs-meta.557111/,54,533
Now It’s Panama’s Turn In the Barrel,https://debatepolitics.com/threads/now-it%E2%80%99s-panama%E2%80%99s-turn-in-the-barrel.557723/,133,2K
You know its very hard. LOL,https://debatepolitics.com/threads/you-know-its-very-hard-lol.557147/,281,2K
Western Kentucky Professor: Trump's victory signals that human decency is no longer an American virtue,https://debatepolitics.com/threads/western-kentucky-professor-trumps-victory-signals-that-human-decency-is-no-longer-an-american-virtue.556543/,363,3K
"Fetterman slams legal cases against Trump, Hunter Biden in first Truth Social post: ‘Cases were both bulls—‘",https://debatepolitics.com/threads/fetterman-slams-legal-cases-against-trump-hunter-biden-in-first-truth-social-post-%E2%80%98cases-were-both-bulls%E2%80%94%E2%80%98.557112/,85,876
Chip Roy On the Outside?,https://debatepolitics.com/threads/chip-roy-on-the-outside.557584/,29,332
"This Cannot Be a Possibility, Wut?",https://debatepolitics.com/threads/this-cannot-be-a-possibility-wut.557551/,81,750
How long will President Musk tolerate Trump interference ?,https://debatepolitics.com/threads/how-long-will-president-musk-tolerate-trump-interference.557564/,53,535
RFK Jr.'s lawyer and top ally asked FDA to revoke approval of polio vaccine,https://debatepolitics.com/threads/rfk-jr-s-lawyer-and-top-ally-asked-fda-to-revoke-approval-of-polio-vaccine.557227/,32,485
Promises Made Promises Broken,https://debatepolitics.com/threads/promises-made-promises-broken.557136/,41,455
Trump suggests Canada become 51st state after Trudeau said tariff would kill economy,https://debatepolitics.com/threads/trump-suggests-canada-become-51st-state-after-trudeau-said-tariff-would-kill-economy.556522/,537,4K
Trump drains the swamp of lobbyists by filling his admninistration with their bosses.,https://debatepolitics.com/threads/trump-drains-the-swamp-of-lobbyists-by-filling-his-admninistration-with-their-bosses.557445/,4,100
Trump Is Now An Automation Expert,https://debatepolitics.com/threads/trump-is-now-an-automation-expert.557158/,12,183
Pressure on a veteran and senator shows what's next for those who oppose Trump,https://debatepolitics.com/threads/pressure-on-a-veteran-and-senator-shows-whats-next-for-those-who-oppose-trump.557143/,32,383
Amazon plans to make $1 million donation to Trump inaugural fund; Bezos to visit Mar-a-Lago,https://debatepolitics.com/threads/amazon-plans-to-make-1-million-donation-to-trump-inaugural-fund-bezos-to-visit-mar-a-lago.557174/,60,527
"Oh, Look, Another Fraud",https://debatepolitics.com/threads/oh-look-another-fraud.557234/,2,112
They’re Not Laughing At Us,https://debatepolitics.com/threads/they%E2%80%99re-not-laughing-at-us.557166/,2,145
The “FOR SALE” Sign Is UP!,https://debatepolitics.com/threads/the-%E2%80%9Cfor-sale%E2%80%9D-sign-is-up.557018/,110,1K
Kimberly To Greece!,https://debatepolitics.com/threads/kimberly-to-greece.557038/,13,207
"YOU CAN’T QUIT, YOU’RE FIRED",https://debatepolitics.com/threads/you-can%E2%80%99t-quit-you%E2%80%99re-fired.556673/,35,434
Need to start a 2028 Presidential Election thread,https://debatepolitics.com/threads/need-to-start-a-2028-presidential-election-thread.556804/,35,323
"Can all of the ""LAND DOESN'T VOTE!!"" people chime in since Trump won the popular vote??",https://debatepolitics.com/threads/can-all-of-the-land-doesnt-vote-people-chime-in-since-trump-won-the-popular-vote.556815/,72,564
Kash Patel,https://debatepolitics.com/threads/kash-patel.556601/,26,307
Canadian PM Justin Trudeau visits Trump at Mar-a-Lago amid steep tariff threats,https://debatepolitics.com/threads/canadian-pm-justin-trudeau-visits-trump-at-mar-a-lago-amid-steep-tariff-threats.556312/,391,3K
Pete Hegseth,https://debatepolitics.com/threads/pete-hegseth.556510/,91,721
(CNN) Democrats’ flip in California concludes final unresolved US House race,https://debatepolitics.com/threads/cnn-democrats%E2%80%99-flip-in-california-concludes-final-unresolved-us-house-race.556639/,108,603
"""You're fired!"" Trump to replace White House Counsel before he's even started his term.",https://debatepolitics.com/threads/youre-fired-trump-to-replace-white-house-counsel-before-hes-even-started-his-term.556654/,33,294
Republicans worry Trump will follow through with his policies,https://debatepolitics.com/threads/republicans-worry-trump-will-follow-through-with-his-policies.556704/,51,381
"""i think i could get rich selling volcano insurance to professional black republicans""",https://debatepolitics.com/threads/i-think-i-could-get-rich-selling-volcano-insurance-to-professional-black-republicans.556593/,43,378
[W: #1063] 2024 Presidential Election night discussion,https://debatepolitics.com/threads/w-1063-2024-presidential-election-night-discussion.554288/,4K,30K
Trump considers DeSantis for Defense secretary as Hegseth appears to falter,https://debatepolitics.com/threads/trump-considers-desantis-for-defense-secretary-as-hegseth-appears-to-falter.556618/,80,372
