title,url,replies,views,cleaned_title,sentiment
"For some Latinos, ‘prosperity gospel’ led them to Trump",https://debatepolitics.com/threads/for-some-latinos-%E2%80%98prosperity-gospel%E2%80%99-led-them-to-trump.557926/,48,2K,latino prosperity gospel led trump,0.0
How the GOP is on Self-Destruct,https://debatepolitics.com/threads/how-the-gop-is-on-self-destruct.557954/,2,174,gop selfdestruct,0.0
Kamala's Been On A Drinking Binge Since Losing,https://debatepolitics.com/threads/kamalas-been-on-a-drinking-binge-since-losing.556181/,187,2K,kamalas drinking binge since losing,0.0
The Victory,https://debatepolitics.com/threads/the-victory.554963/,182,2K,victory,0.0
It Must Really Suck For You People,https://debatepolitics.com/threads/it-must-really-suck-for-you-people.557448/,290,2K,must really suck people,0.2
Manifestly Unfit,https://debatepolitics.com/threads/manifestly-unfit.557682/,129,1K,manifestly unfit,0.0
Poll: 65% of Canadians agree with Trump's wish to make them the 51st state,https://debatepolitics.com/threads/poll-65-of-canadians-agree-with-trumps-wish-to-make-them-the-51st-state.557506/,56,775,poll canadian agree trump wish make st state,0.0
"President Trump - Meet the Press... ""No I will not do any executive orders to limit abortion""",https://debatepolitics.com/threads/president-trump-meet-the-press-no-i-will-not-do-any-executive-orders-to-limit-abortion.556927/,72,938,president trump meet press executive order limit abortion,0.0
Trumps fake campaign promises are falling like dominoes or cut like a drug dealer's cocaine. Election fraud is consequential & criminal.,https://debatepolitics.com/threads/trumps-fake-campaign-promises-are-falling-like-dominoes-or-cut-like-a-drug-dealers-cocaine-election-fraud-is-consequential-criminal.557303/,36,587,trump fake campaign promise falling like domino cut like drug dealer cocaine election fraud consequential criminal,-0.45
TRUMP RENEGES ON THE USMCA - HIS OWN ADMINISTRATION'S TRADE AGREEMENT NEGOTIATED & SIGNED IN 2020,https://debatepolitics.com/threads/trump-reneges-on-the-usmca-his-own-administrations-trade-agreement-negotiated-signed-in-2020.557839/,12,298,trump renege usmca administration trade agreement negotiated signed,0.0
Trump's inaugural fund receives $1 million donation from Mark Zuckerberg's Meta,https://debatepolitics.com/threads/trumps-inaugural-fund-receives-1-million-donation-from-mark-zuckerbergs-meta.557111/,54,533,trump inaugural fund receives million donation mark zuckerbergs meta,0.0
